BuildingCode,Longitude,Latitude,Region,Province,Municipality,Barangay,Purok
2401000002,125.5556361,10.3276355,Caraga,Dinagat Islands,Tubajon,San Roque,Purok 1
2401000003,125.5555471,10.327573,Caraga,Dinagat Islands,Tubajon,Diaz,No Purok
2401000006,125.5556331,10.3276368,Caraga,Dinagat Islands,Tubajon,San Roque,No Purok
2401000007,125.6150736,10.24887889,Caraga,Dinagat Islands,Tubajon,San Roque,No Purok
2401000010,125.5802166,10.27888473,Caraga,Dinagat Islands,Tubajon,Navarro,Purok 4
2401000011,120.984219,14.599512,Caraga,Dinagat Islands,Tubajon,Diaz,No Purok
2401000012,120.984219,14.599512,Caraga,Dinagat Islands,Tubajon,Diaz,No Purok
2401000013,125.5555451,10.3275725,Caraga,Dinagat Islands,Tubajon,Diaz,No Purok
2401000014,125.5555479,10.3275736,Caraga,Dinagat Islands,Tubajon,San Vicente,No Purok
2401000015,125.5555547,10.3275712,Caraga,Dinagat Islands,Tubajon,Roxas,No Purok
2401000019,125.5556345,10.3276366,Caraga,Dinagat Islands,Tubajon,Roxas,No Purok
2401000021,125.5555479,10.3275747,Caraga,Dinagat Islands,Tubajon,San Vicente,No Purok
2401000025,125.5555482,10.3275731,Caraga,Dinagat Islands,Tubajon,Mabini,No Purok
2401000026,125.5555485,10.3275734,Caraga,Dinagat Islands,Tubajon,Mabini,Purok 1
2401000028,125.555548,10.3275733,Caraga,Dinagat Islands,Tubajon,Mabini,No Purok
2401000029,125.5555478,10.3275733,Caraga,Dinagat Islands,Tubajon,Mabini,No Purok
2401000030,125.5555478,10.3275733,Caraga,Dinagat Islands,Tubajon,Mabini,No Purok
2401000031,125.5555574,10.3275686,Caraga,Dinagat Islands,Tubajon,Mabini,No Purok
2401000032,125.5555478,10.3275735,Caraga,Dinagat Islands,Tubajon,Mabini,No Purok
2401000034,125.5555478,10.3275733,Caraga,Dinagat Islands,Tubajon,Mabini,No Purok
2401000037,125.5557487,10.3276548,Caraga,Dinagat Islands,Tubajon,Mabini,No Purok
2401000038,125.5555475,10.3275733,Caraga,Dinagat Islands,Tubajon,Mabini,No Purok
2401000040,125.5574072,10.3229447,Caraga,Dinagat Islands,Tubajon,Mabini,No Purok
2401000041,125.5555475,10.3275733,Caraga,Dinagat Islands,Tubajon,Mabini,No Purok
2401000045,125.5541956,10.31250757,Caraga,Dinagat Islands,Tubajon,San Vicente,No Purok
2401000051,125.5510061,10.3195903,Caraga,Dinagat Islands,Tubajon,San Vicente,No Purok
2401000053,125.5526753,10.30983347,Caraga,Dinagat Islands,Tubajon,Diaz,No Purok
2401000054,125.5640941,10.30889234,Caraga,Dinagat Islands,Tubajon,Santa Cruz,No Purok
2401000056,125.5756859,10.359785,Caraga,Dinagat Islands,Tubajon,San Vicente,No Purok
2401000060,125.5365936,10.30372896,Caraga,Dinagat Islands,Tubajon,Diaz,No Purok
2401000061,125.5756832,10.3597797,Caraga,Dinagat Islands,Tubajon,Mabini,No Purok
2401000062,125.575724,10.3598942,Caraga,Dinagat Islands,Tubajon,San Roque,No Purok
2401000065,125.575695,10.3597524,Caraga,Dinagat Islands,Tubajon,Diaz,No Purok
2401000066,125.54649,10.31099351,Caraga,Dinagat Islands,Tubajon,Santa Cruz,No Purok
2401000072,125.5756621,10.3599106,Caraga,Dinagat Islands,Tubajon,Diaz,No Purok
2401000074,120.984219,14.599512,Caraga,Dinagat Islands,Tubajon,Santa Cruz,No Purok
2401000076,125.584307,10.31911052,Caraga,Dinagat Islands,Tubajon,Mabini,No Purok
2401000081,125.538891,10.30875222,Caraga,Dinagat Islands,Tubajon,Santa Cruz,No Purok
2401000083,125.5756441,10.3597807,Caraga,Dinagat Islands,Tubajon,Santa Cruz,No Purok
2401000084,125.5756891,10.3597618,Caraga,Dinagat Islands,Tubajon,Santa Cruz,No Purok
2401000086,125.5640017,10.30886045,Caraga,Dinagat Islands,Tubajon,Santa Cruz,No Purok
2401000088,125.5374772,10.31010514,Caraga,Dinagat Islands,Tubajon,Santa Cruz,No Purok
2401000090,125.6281728,10.2574204,Caraga,Dinagat Islands,Tubajon,Malinao,No Purok
2401000091,125.5503019,10.31066227,Caraga,Dinagat Islands,Tubajon,Diaz,No Purok
2401000093,125.5593859,10.3201329,Caraga,Dinagat Islands,Tubajon,Santa Cruz,Purok 2
2401000098,125.5559281,10.3304827,Caraga,Dinagat Islands,Tubajon,San Roque,No Purok
2401000100,125.5559202,10.330481,Caraga,Dinagat Islands,Tubajon,San Roque,No Purok
2401000102,125.5559426,10.3304817,Caraga,Dinagat Islands,Tubajon,San Roque,No Purok
2401000105,125.6025908,10.2987713,Caraga,Dinagat Islands,Tubajon,Diaz,No Purok
2401000106,125.6026364,10.2986716,Caraga,Dinagat Islands,Tubajon,Diaz,No Purok
2401000108,125.6272973,10.2573262,Caraga,Dinagat Islands,Tubajon,Malinao,No Purok
2401000109,10.32,125.55,Caraga,Dinagat Islands,Tubajon,San Vicente,Purok 4
2401000111,125.6208528,10.2565532,Caraga,Dinagat Islands,Tubajon,Malinao,Purok 4
2401000112,125.6213103,10.2560769,Caraga,Dinagat Islands,Tubajon,Malinao,Purok 2
2401000113,125.6213094,10.2561026,Caraga,Dinagat Islands,Tubajon,Malinao,Purok 6
2401000114,125.6207972,10.2566588,Caraga,Dinagat Islands,Tubajon,Malinao,Purok 6
2401000118,125.6208037,10.2565492,Caraga,Dinagat Islands,Tubajon,Malinao,Purok 2
