BuildingCode,Hazard,HazardRisk
2402002155,Soil Erosion,Moderate Erosion
2402002157,Soil Erosion,Moderate Erosion
2402002158,Soil Erosion,Moderate Erosion
2402002164,Soil Erosion,Moderate Erosion
2402002165,Soil Erosion,Moderate Erosion
2402002168,Soil Erosion,Moderate Erosion
2402002317,Soil Erosion,Moderate Erosion
2403000097,Soil Erosion,Moderate Erosion
2403000098,Soil Erosion,Moderate Erosion
2403000106,Soil Erosion,Slight Erosion
2403000107,Soil Erosion,Slight Erosion
2403000108,Soil Erosion,Slight Erosion
2403000110,Soil Erosion,Slight Erosion
2403000111,Soil Erosion,Slight Erosion
2403000113,Soil Erosion,Slight Erosion
2403000114,Soil Erosion,Slight Erosion
2403000115,Soil Erosion,Slight Erosion
2403000116,Soil Erosion,Moderate Erosion
2403000117,Soil Erosion,Moderate Erosion
2403000118,Soil Erosion,Moderate Erosion
2403000119,Soil Erosion,Moderate Erosion
2403000120,Soil Erosion,Moderate Erosion
2403000121,Soil Erosion,Moderate Erosion
2403000122,Soil Erosion,Moderate Erosion
2403000125,Soil Erosion,Moderate Erosion
2403000128,Soil Erosion,Moderate Erosion
2403000188,Soil Erosion,Moderate Erosion
2403000191,Soil Erosion,Moderate Erosion
2403000192,Soil Erosion,Moderate Erosion
2403000194,Soil Erosion,Moderate Erosion
2403000196,Soil Erosion,Moderate Erosion
2403000197,Soil Erosion,Moderate Erosion
2403000325,Soil Erosion,Slight Erosion
2403000326,Soil Erosion,Slight Erosion
2403000330,Soil Erosion,Slight Erosion
2403000354,Soil Erosion,Moderate Erosion
2403000355,Soil Erosion,Moderate Erosion
2403000360,Soil Erosion,Moderate Erosion
2403000361,Soil Erosion,Moderate Erosion
2403000368,Soil Erosion,Moderate Erosion
2403000369,Soil Erosion,Moderate Erosion
2403000370,Soil Erosion,Moderate Erosion
2403000371,Soil Erosion,Moderate Erosion
2403000373,Soil Erosion,Moderate Erosion
2403000374,Soil Erosion,Moderate Erosion
2403000375,Soil Erosion,Moderate Erosion
2403000376,Soil Erosion,Moderate Erosion
2403000377,Soil Erosion,Moderate Erosion
2403000379,Soil Erosion,Moderate Erosion
2403000380,Soil Erosion,Moderate Erosion
2403000381,Soil Erosion,Moderate Erosion
2403000382,Soil Erosion,Moderate Erosion
2403000384,Soil Erosion,Moderate Erosion
2403000385,Soil Erosion,Moderate Erosion
2403000386,Soil Erosion,Moderate Erosion
2403000387,Soil Erosion,Moderate Erosion
2403000388,Soil Erosion,Moderate Erosion
2403000390,Soil Erosion,Moderate Erosion
2403000391,Soil Erosion,Moderate Erosion
2403000392,Soil Erosion,Moderate Erosion
2403000393,Soil Erosion,Moderate Erosion
2403000394,Soil Erosion,Moderate Erosion
2403000395,Soil Erosion,Moderate Erosion
2403000396,Soil Erosion,Moderate Erosion
2403000397,Soil Erosion,Moderate Erosion
2403000398,Soil Erosion,Moderate Erosion
2403000399,Soil Erosion,Moderate Erosion
2403000400,Soil Erosion,Moderate Erosion
2403000401,Soil Erosion,Moderate Erosion
2403000402,Soil Erosion,Moderate Erosion
2403000403,Soil Erosion,Moderate Erosion
2403000404,Soil Erosion,Moderate Erosion
2403000415,Soil Erosion,Moderate Erosion
2403000416,Soil Erosion,Moderate Erosion
2403000417,Soil Erosion,Moderate Erosion
2403000419,Soil Erosion,Moderate Erosion
2403000422,Soil Erosion,Moderate Erosion
2403000426,Soil Erosion,Moderate Erosion
2403000428,Soil Erosion,Moderate Erosion
2403000429,Soil Erosion,Moderate Erosion
2403000430,Soil Erosion,Moderate Erosion
2403000431,Soil Erosion,Moderate Erosion
2403000432,Soil Erosion,Moderate Erosion
2403000433,Soil Erosion,Moderate Erosion
2403000434,Soil Erosion,Moderate Erosion
2403000436,Soil Erosion,Moderate Erosion
2403000437,Soil Erosion,Moderate Erosion
2403000439,Soil Erosion,Moderate Erosion
2403000440,Soil Erosion,Moderate Erosion
2403000441,Soil Erosion,Moderate Erosion
2403000442,Soil Erosion,Moderate Erosion
2403000760,Soil Erosion,Moderate Erosion
2403000770,Soil Erosion,Slight Erosion
2403000772,Soil Erosion,Slight Erosion
2403000892,Soil Erosion,Moderate Erosion
2403001122,Soil Erosion,Moderate Erosion
2403001123,Soil Erosion,Moderate Erosion
2403001124,Soil Erosion,Moderate Erosion
2403001225,Soil Erosion,Moderate Erosion
2403001226,Soil Erosion,Moderate Erosion
2403001232,Soil Erosion,Moderate Erosion
2403001234,Soil Erosion,Moderate Erosion
2403001235,Soil Erosion,Moderate Erosion
2403001240,Soil Erosion,Moderate Erosion
2403001244,Soil Erosion,Moderate Erosion
2403001248,Soil Erosion,Moderate Erosion
2403001254,Soil Erosion,Moderate Erosion
2403001256,Soil Erosion,Slight Erosion
2403001259,Soil Erosion,Moderate Erosion
2403001264,Soil Erosion,Moderate Erosion
2403001381,Soil Erosion,Moderate Erosion
2403001411,Soil Erosion,Moderate Erosion
2403001412,Soil Erosion,Moderate Erosion
2403001414,Soil Erosion,Moderate Erosion
2403001471,Soil Erosion,Moderate Erosion
2403001473,Soil Erosion,Moderate Erosion
2404000006,Soil Erosion,Moderate Erosion
2404000139,Soil Erosion,Moderate Erosion
2404000149,Soil Erosion,Moderate Erosion
2404000157,Soil Erosion,Moderate Erosion
2404000159,Soil Erosion,Moderate Erosion
2404000163,Soil Erosion,Moderate Erosion
2404000166,Soil Erosion,Moderate Erosion
2404000236,Soil Erosion,Moderate Erosion
2404000237,Soil Erosion,Moderate Erosion
2404000247,Soil Erosion,Moderate Erosion
2404000248,Soil Erosion,Moderate Erosion
2404000258,Soil Erosion,Slight Erosion
2404000259,Soil Erosion,Slight Erosion
2404000260,Soil Erosion,Slight Erosion
2404000261,Soil Erosion,Slight Erosion
2404000262,Soil Erosion,Slight Erosion
2404000354,Soil Erosion,Moderate Erosion
2404000372,Soil Erosion,Moderate Erosion
2402000348,Soil Erosion,Moderate Erosion
2402000354,Soil Erosion,Moderate Erosion
2402000360,Soil Erosion,Slight Erosion
2402000362,Soil Erosion,Moderate Erosion
2402000366,Soil Erosion,Moderate Erosion
2402000376,Soil Erosion,Slight Erosion
