#,false,QR,Unique Code,Longitude,Latitude,Region,Province,Municipality,Barangay,Purok,Street,Landmark,House Number,Building Name,Floor,Unit Number,Date Added,Date Modified,Delete,source_file
101,False,,2402000070,125.5854067,10.3217683,Caraga,Dinagat Islands,Tubajon,Mabini,Purok 4,,SDA Church,,,,,"Feb 06, 2024","Feb 06, 2024",,download (1).xls
102,False,,2402000072,125.5863533,10.3225033,Caraga,Dinagat Islands,Tubajon,Mabini,Purok 4,,SDA Church,,,,,"Feb 06, 2024","Feb 06, 2024",,download (1).xls
103,False,,2402000074,125.5852667,10.3219633,Caraga,Dinagat Islands,Tubajon,Mabini,Purok 4,,Near SDA Church,,,,,"Feb 06, 2024","Feb 06, 2024",,download (1).xls
104,False,,2402000076,125.5863067,10.3228433,Caraga,Dinagat Islands,Tubajon,Mabini,Purok 4,,Near SDA Church,,,,,"Feb 06, 2024","Feb 06, 2024",,download (1).xls
105,False,,2402000078,125.5851433,10.3215598,Caraga,Dinagat Islands,Tubajon,Mabini,Purok 4,,Near SDA Church,,,,,"Feb 06, 2024","Feb 06, 2024",,download (1).xls
106,False,,2402000080,125.5857467,10.3225833,Caraga,Dinagat Islands,Tubajon,Mabini,Purok 4,,Near SDA Church,,,,,"Feb 06, 2024","Feb 06, 2024",,download (1).xls
107,False,,2402000082,125.585155,10.32154,Caraga,Dinagat Islands,Tubajon,Mabini,Purok 4,,Near Elementary School,,,,,"Feb 06, 2024","Feb 06, 2024",,download (1).xls
108,False,,2402000085,125.5847636,10.3171234,Caraga,Dinagat Islands,Tubajon,Mabini,Purok 4,,Near SDA,,,,,"Feb 06, 2024","Feb 06, 2024",,download (1).xls
109,False,,2402000087,125.5847636,10.3171234,Caraga,Dinagat Islands,Tubajon,Mabini,Purok 4,,Front of Elementary School,,,,,"Feb 06, 2024","Feb 06, 2024",,download (1).xls
110,False,,2402000089,125.5848597,10.3206139,Caraga,Dinagat Islands,Tubajon,Mabini,Purok 4,,Near SDA Church,,,,,"Feb 06, 2024","Feb 06, 2024",,download (1).xls
